   Tempo_min       X_0cm           X_1cm           X_2cm           X_3cm           X_4cm           X_5cm           X_6cm           X_7cm           X_8cm           X_9cm           X_10cm          H_0cm           H_1cm           H_2cm           H_3cm           H_4cm           H_5cm           H_6cm           H_7cm           H_8cm           H_9cm           H_10cm          T_0cm           T_1cm           T_2cm           T_3cm           T_4cm           T_5cm           T_6cm           T_7cm           T_8cm           T_9cm           T_10cm
   5.0000278e-02   3.6024680e-01   3.9008567e-01   4.1808339e-01   4.4028037e-01   4.4901212e-01   4.5103880e-01   4.5143224e-01   4.5150527e-01   4.5151865e-01   4.5152108e-01   4.5152152e-01   1.6002516e-02   1.6004514e-02   1.6005894e-02   1.6006489e-02   1.6006642e-02   1.6006673e-02   1.6006680e-02   1.6006681e-02   1.6006681e-02   1.6006681e-02   1.6006681e-02   4.5960953e+01   3.4548316e+01   2.6618160e+01   2.3232740e+01   2.2365617e+01   2.2184566e+01   2.2148717e+01   2.2141728e+01   2.2140377e+01   2.2140117e+01   2.2140068e+01
   5.5555833e-02   3.5047156e-01   3.8227387e-01   4.1262460e-01   4.3787221e-01   4.4838329e-01   4.5090669e-01   4.5140602e-01   4.5150016e-01   4.5151767e-01   4.5152090e-01   4.5152149e-01   1.6002463e-02   1.6004444e-02   1.6005845e-02   1.6006477e-02   1.6006644e-02   1.6006680e-02   1.6006687e-02   1.6006688e-02   1.6006689e-02   1.6006689e-02   1.6006689e-02   4.6263108e+01   3.4960703e+01   2.6924485e+01   2.3339195e+01   2.2391273e+01   2.2190182e+01   2.2149920e+01   2.2141990e+01   2.2140440e+01   2.2140139e+01   2.2140081e+01
   6.1111389e-02   3.4090424e-01   3.7452851e-01   4.0709188e-01   4.3532425e-01   4.4769604e-01   4.5075994e-01   4.5137657e-01   4.5149436e-01   4.5151654e-01   4.5152068e-01   4.5152145e-01   1.6002410e-02   1.6004374e-02   1.6005792e-02   1.6006458e-02   1.6006641e-02   1.6006680e-02   1.6006688e-02   1.6006690e-02   1.6006690e-02   1.6006690e-02   1.6006690e-02   4.6560897e+01   3.5366320e+01   2.7232847e+01   2.3449803e+01   2.2418165e+01   2.2196068e+01   2.2151175e+01   2.2142257e+01   2.2140499e+01   2.2140154e+01   2.2140087e+01
   6.6666944e-02   3.3154336e-01   3.6685324e-01   4.0149472e-01   4.3263902e-01   4.4694860e-01   4.5059793e-01   4.5134375e-01   4.5148783e-01   4.5151525e-01   4.5152043e-01   4.5152140e-01   1.6002358e-02   1.6004303e-02   1.6005736e-02   1.6006438e-02   1.6006636e-02   1.6006679e-02   1.6006688e-02   1.6006690e-02   1.6006690e-02   1.6006690e-02   1.6006690e-02   4.6855132e+01   3.5769001e+01   2.7547004e+01   2.3566374e+01   2.2446825e+01   2.2202350e+01   2.2152512e+01   2.2142539e+01   2.2140558e+01   2.2140167e+01   2.2140090e+01
   7.2222500e-02   3.2238698e-01   3.5925120e-01   3.9584149e-01   4.2981757e-01   4.4613820e-01   4.5041973e-01   4.5130734e-01   4.5148054e-01   4.5151380e-01   4.5152014e-01   4.5152135e-01   1.6002306e-02   1.6004233e-02   1.6005679e-02   1.6006415e-02   1.6006629e-02   1.6006677e-02   1.6006687e-02   1.6006689e-02   1.6006689e-02   1.6006689e-02   1.6006689e-02   4.7146111e+01   3.6170858e+01   2.7869122e+01   2.3690076e+01   2.2477635e+01   2.2209129e+01   2.2153956e+01   2.2142842e+01   2.2140621e+01   2.2140179e+01   2.2140092e+01
   7.7778056e-02   3.1343285e-01   3.5172506e-01   3.9013971e-01   4.2686024e-01   4.4526111e-01   4.5022405e-01   4.5126704e-01   4.5147241e-01   4.5151217e-01   4.5151982e-01   4.5152128e-01   1.6002255e-02   1.6004162e-02   1.6005620e-02   1.6006390e-02   1.6006622e-02   1.6006674e-02   1.6006685e-02   1.6006687e-02   1.6006688e-02   1.6006688e-02   1.6006688e-02   4.7433871e+01   3.6572445e+01   2.8200020e+01   2.3821863e+01   2.2510914e+01   2.2216481e+01   2.2155525e+01   2.2143172e+01   2.2140689e+01   2.2140193e+01   2.2140094e+01
   8.3333611e-02   3.0467870e-01   3.4427717e-01   3.8439604e-01   4.2376738e-01   4.4431325e-01   4.5000946e-01   4.5122250e-01   4.5146337e-01   4.5151035e-01   4.5151945e-01   4.5152121e-01   1.6002204e-02   1.6004091e-02   1.6005559e-02   1.6006363e-02   1.6006614e-02   1.6006671e-02   1.6006683e-02   1.6006686e-02   1.6006686e-02   1.6006686e-02   1.6006686e-02   4.7718368e+01   3.6973784e+01   2.8539754e+01   2.3962395e+01   2.2546941e+01   2.2224475e+01   2.2157234e+01   2.2143532e+01   2.2140763e+01   2.2140207e+01   2.2140095e+01
   8.8889167e-02   2.9612246e-01   3.3690941e-01   3.7861601e-01   4.2053954e-01   4.4329085e-01   4.4977459e-01   4.5117340e-01   4.5145335e-01   4.5150832e-01   4.5151904e-01   4.5152112e-01   1.6002154e-02   1.6004020e-02   1.6005496e-02   1.6006336e-02   1.6006606e-02   1.6006668e-02   1.6006681e-02   1.6006684e-02   1.6006685e-02   1.6006685e-02   1.6006685e-02   4.7999522e+01   3.7374732e+01   2.8888081e+01   2.4112134e+01   2.2585951e+01   2.2233171e+01   2.2159097e+01   2.2143926e+01   2.2140845e+01   2.2140223e+01   2.2140098e+01
   9.4444722e-02   2.8776182e-01   3.2962385e-01   3.7280574e-01   4.1717784e-01   4.4218951e-01   4.4951775e-01   4.5111933e-01   4.5144226e-01   4.5150607e-01   4.5151858e-01   4.5152103e-01   1.6002105e-02   1.6003949e-02   1.6005433e-02   1.6006306e-02   1.6006597e-02   1.6006665e-02   1.6006679e-02   1.6006682e-02   1.6006683e-02   1.6006683e-02   1.6006683e-02   4.8277296e+01   3.7775135e+01   2.9244717e+01   2.4271594e+01   2.2628211e+01   2.2242639e+01   2.2161130e+01   2.2144355e+01   2.2140934e+01   2.2140240e+01   2.2140100e+01
   1.0000028e-01   2.7959436e-01   3.2242239e-01   3.6697106e-01   4.1368395e-01   4.4100462e-01   4.4923711e-01   4.5105984e-01   4.5143001e-01   4.5150356e-01   4.5151808e-01   4.5152093e-01   1.6002056e-02   1.6003879e-02   1.6005368e-02   1.6006274e-02   1.6006587e-02   1.6006661e-02   1.6006677e-02   1.6006681e-02   1.6006681e-02   1.6006681e-02   1.6006681e-02   4.8551608e+01   3.8174752e+01   2.9609178e+01   2.4441189e+01   2.2673990e+01   2.2252951e+01   2.2163349e+01   2.2144826e+01   2.2141032e+01   2.2140259e+01   2.2140103e+01
