   Tempo_min  X_1cm       X_5cm       X_10cm      T_1cm       T_5cm       T_10cm 
   26.666667   0.1535249   0.4114059   0.1955436   48.754184   23.583168   24.271988
   27.         0.1492615   0.4089273   0.1959885   49.04738    23.701631   24.266374
   27.333333   0.1450945   0.4063159   0.1964317   49.335499   23.828862   24.260826
   27.666667   0.1410228   0.4035706   0.1968731   49.618509   23.965324   24.255348
   28.         0.1370457   0.4006908   0.1973127   49.896382   24.111476   24.249943
   28.333333   0.1331622   0.3976764   0.1977505   50.1691     24.267767   24.244614
   28.666667   0.1293711   0.3945283   0.1981864   50.436647   24.434626   24.239366
   29.         0.1256714   0.3912479   0.1986204   50.699015   24.612463   24.234203
   29.333333   0.122062    0.3878372   0.1990523   50.956201   24.801655   24.22913 
   29.666667   0.1185418   0.3842991   0.1994823   51.208207   25.002542   24.224153
   30.         0.1151094   0.3806369   0.1999102   51.45504    25.215417   24.219278
   30.         0.1151094   0.3806369   0.1999102   51.45504    25.215417   24.219278
   30.333333   0.1123579   0.3788414   0.1962695   38.447327   22.799904   43.857523
   30.666667   0.1108753   0.3786822   0.190952    29.704584   22.617509   49.553403
   31.         0.1107282   0.3785884   0.185352    26.421087   22.661661   51.337697
   31.333333   0.1113015   0.3783523   0.1797832   25.815237   22.741009   51.995144
   31.666667   0.112018    0.377933    0.1743318   25.729426   22.83345    52.330488
   32.         0.1127477   0.3773278   0.1690197   25.708972   22.926389   52.572923
   32.333333   0.1134742   0.3765549   0.1638506   25.695851   23.012886   52.786796
   32.666667   0.1141955   0.375638    0.1588235   25.683538   23.091904   52.989923
   33.         0.1149117   0.3745968   0.1539359   25.671311   23.165951   53.187174
   33.333333   0.1156228   0.3734439   0.1491852   25.659129   23.238501   53.37987 
   33.666667   0.1163289   0.3721852   0.1445686   25.647054   23.312563   53.568372
   34.         0.11703     0.3708221   0.1400832   25.635163   23.390304   53.752787
   34.333333   0.117726    0.3693535   0.1357262   25.62352    23.473179   53.933161
   34.666667   0.118417    0.367777    0.1314948   25.612178   23.562177   54.109521
   35.         0.1191029   0.3660895   0.1273863   25.601172   23.658026   54.281898
   35.333333   0.1197835   0.3642883   0.1233978   25.590537   23.761318   54.450321
   35.666667   0.1204587   0.3623705   0.1195267   25.580298   23.87258    54.614823
   36.         0.1211284   0.3603337   0.1157701   25.570485   23.992312   54.77544 
   36.333333   0.1217925   0.358176    0.1121255   25.561126   24.120998   54.932209
   36.666667   0.1224506   0.355896    0.1085901   25.552251   24.259108   55.085173
   37.         0.1231027   0.3534928   0.1051612   25.543896   24.407106   55.234374
   37.333333   0.1237485   0.3509663   0.1018363   25.536096   24.565436   55.379856
